Accession	Type	Target	Description	Lab	link
ENCSR000DLW	primary cell	CTCF	CTCF ChIP-seq on human HUVEC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLW
ENCSR000DLY	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLY
ENCSR000DLZ	immortalized cell line	MYC	MYC ChIP-seq on human K562	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLZ
ENCSR000DMA	immortalized cell line	CTCF	CTCF ChIP-seq on human K562	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMA
ENCSR000DMC	tissue	CTCF	CTCF ChIP-seq on human kidney	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMC
ENCSR000DME	immortalized cell line	CTCF	CTCF ChIP-seq on human LNCaP treated with androgen	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DME
ENCSR000DMF	immortalized cell line	CTCF	CTCF ChIP-seq on human LNCaP	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMF
ENCSR000DMH	tissue	CTCF	CTCF ChIP-seq on human lung	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMH
ENCSR000DMJ	immortalized cell line	MYC	MYC ChIP-seq on human MCF-7 treated with serum starved media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMJ
ENCSR000DMK	immortalized cell line	POLR2A	POLR2A ChIP-seq on human MCF-7 treated with serum starved media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMK
ENCSR000DML	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7 treated with serum starved media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DML
ENCSR000DMM	immortalized cell line	MYC	MYC ChIP-seq on human MCF-7 treated with serum stimulated media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMM
ENCSR000DMN	immortalized cell line	POLR2A	POLR2A ChIP-seq on human MCF-7 treated with serum stimulated media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMN
ENCSR000DMO	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7 treated with serum stimulated media	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMO
ENCSR000DMP	immortalized cell line	MYC	MYC ChIP-seq on human MCF-7 treated with estrogen	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMP
ENCSR000DMQ	immortalized cell line	MYC	MYC ChIP-seq on human MCF-7 treated with vehicle	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMQ
ENCSR000DMR	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7 treated with vehicle	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMR
ENCSR000DMS	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7 treated with estrogen	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMS
ENCSR000DMT	immortalized cell line	POLR2A	POLR2A ChIP-seq on human MCF-7	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMT
ENCSR000DMV	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMV
ENCSR000DMY	immortalized cell line	CTCF	CTCF ChIP-seq on human Medullo	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMY
ENCSR000DMZ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human A549	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DMZ
ENCSR000DNA	immortalized cell line	CTCF	CTCF ChIP-seq on human A549	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DNA
ENCSR000DNC	primary cell	CTCF	CTCF ChIP-seq on human NHEK	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DNC
ENCSR000DND	tissue	CTCF	CTCF ChIP-seq on human Pancreas	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DND
ENCSR000DNF	primary cell	POLR2A	POLR2A ChIP-seq on human ProgFib	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DNF
ENCSR000DNG	primary cell	CTCF	CTCF ChIP-seq on human ProgFib	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DNG
ENCSR000DNI	tissue	CTCF	CTCF ChIP-seq on human spleen	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DNI
ENCSR000DNM	immortalized cell line	NFYB	NFYB ChIP-seq on human GM12878	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNM
ENCSR000DNN	immortalized cell line	NFYA	NFYA ChIP-seq on human GM12878	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNN
ENCSR000DNO	immortalized cell line	KAT2A	KAT2A ChIP-seq on human GM12878	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNO
ENCSR000DNP	immortalized cell line	SUPT20H	SUPT20H ChIP-seq on human GM12878	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNP
ENCSR000DNQ	immortalized cell line	ZZZ3	ZZZ3 ChIP-seq on human GM12878	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNQ
ENCSR000DNR	immortalized cell line	NFYB	NFYB ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNR
ENCSR000DNS	immortalized cell line	NFYA	NFYA ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNS
ENCSR000DNT	immortalized cell line	ZZZ3	ZZZ3 ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNT
ENCSR000DNU	immortalized cell line	POLR3A	POLR3A ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNU
ENCSR000DNV	immortalized cell line	BRF2	BRF2 ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNV
ENCSR000DNW	immortalized cell line	BRF1	BRF1 ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNW
ENCSR000DNX	immortalized cell line	BDP1	BDP1 ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNX
ENCSR000DNY	immortalized cell line	GTF3C2	GTF3C2 ChIP-seq on human HeLa-S3	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNY
ENCSR000DNZ	immortalized cell line	ATF1	ATF1 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DNZ
ENCSR000DOA	immortalized cell line	CCNT2	CCNT2 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOA
ENCSR000DOB	immortalized cell line	HMGN3	HMGN3 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOB
ENCSR000DOC	immortalized cell line	BRF2	BRF2 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOC
ENCSR000DOD	immortalized cell line	GTF3C2	GTF3C2 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOD
ENCSR000DOE	immortalized cell line	GTF2B	GTF2B ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOE
ENCSR000DOF	immortalized cell line	NELFE	NELFE ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOF
ENCSR000DOG	immortalized cell line	ATF3	ATF3 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOG
ENCSR000DOH	immortalized cell line	SIRT6	SIRT6 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOH
ENCSR000DOI	immortalized cell line	POLR3A	POLR3A ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOI
ENCSR000DOJ	immortalized cell line	BRF1	BRF1 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOJ
ENCSR000DOK	immortalized cell line	BDP1	BDP1 ChIP-seq on human K562	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOK
ENCSR000DOM	immortalized cell line	MYC	MYC ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 4 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOM
ENCSR000DON	immortalized cell line	FOS	FOS ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 36 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DON
ENCSR000DOO	immortalized cell line	FOS	FOS ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 4 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOO
ENCSR000DOP	immortalized cell line	FOS	FOS ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 12 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOP
ENCSR000DOQ	immortalized cell line	STAT3	STAT3 ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 12 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOQ
ENCSR000DOR	immortalized cell line	E2F4	E2F4 ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 36 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOR
ENCSR000DOS	immortalized cell line	MYC	MYC ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOS
ENCSR000DOT	immortalized cell line	FOS	FOS ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOT
ENCSR000DOU	immortalized cell line	STAT3	STAT3 ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol for 4 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOU
ENCSR000DOX	immortalized cell line	STAT3	STAT3 ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol for 12 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOX
ENCSR000DOZ	immortalized cell line	STAT3	STAT3 ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DOZ
ENCSR000DPA	immortalized cell line	POLR2A	POLR2A ChIP-seq on human MCF10A-Er-Src treated with 0.01% ethanol	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DPA
ENCSR000DPB	immortalized cell line	STAT3	STAT3 ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 36 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DPB
ENCSR000DPC	immortalized cell line	POLR2A	POLR2A ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 36 hours	Kevin Struhl, HMS	https://www.encodeproject.org/experiments/ENCSR000DPC
ENCSR000DPF	immortalized cell line	CTCF	CTCF ChIP-seq on human A549	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPF
ENCSR000DPG	primary cell	CTCF	CTCF ChIP-seq on human AG04449	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPG
ENCSR000DPM	primary cell	CTCF	CTCF ChIP-seq on human AG04450	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPM
ENCSR000DPP	primary cell	CTCF	CTCF ChIP-seq on human AG09309	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPP
ENCSR000DPS	primary cell	CTCF	CTCF ChIP-seq on human AG09319	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPS
ENCSR000DPV	primary cell	CTCF	CTCF ChIP-seq on human AG10803	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPV
ENCSR000DPY	primary cell	CTCF	CTCF ChIP-seq on human AoAF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DPY
ENCSR000DQD	immortalized cell line	CTCF	CTCF ChIP-seq on human BE2-C	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DQD
ENCSR000DQI	immortalized cell line	CTCF	CTCF ChIP-seq on human BJ	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DQI
ENCSR000DQN	immortalized cell line	CTCF	CTCF ChIP-seq on human Caco-2	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DQN
ENCSR000DQW	immortalized cell line	CTCF	CTCF ChIP-seq on human GM06990	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DQW
ENCSR000DQY	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12801	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DQY
ENCSR000DRB	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12864	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRB
ENCSR000DRE	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12865	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRE
ENCSR000DRF	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12866	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRF
ENCSR000DRF	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12866	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRF
ENCSR000DRH	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12867	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRH
ENCSR000DRH	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12867	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRH
ENCSR000DRI	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12868	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRI
ENCSR000DRI	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12868	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRI
ENCSR000DRJ	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12869	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRJ
ENCSR000DRJ	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12869	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRJ
ENCSR000DRK	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12870	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRK
ENCSR000DRK	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12870	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRK
ENCSR000DRL	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12871	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRL
ENCSR000DRL	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12871	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRL
ENCSR000DRN	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12872	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRN
ENCSR000DRP	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12873	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRP
ENCSR000DRR	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12874	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRR
ENCSR000DRU	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12875	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRU
ENCSR000DRZ	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12878	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DRZ
ENCSR000DSU	primary cell	CTCF	CTCF ChIP-seq on human HA-sp	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DSU
ENCSR000DSZ	primary cell	CTCF	CTCF ChIP-seq on human HAc	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DSZ
ENCSR000DTA	primary cell	CTCF	CTCF ChIP-seq on human HBMEC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTA
ENCSR000DTF	primary cell	CTCF	CTCF ChIP-seq on human HCFaa	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTF
ENCSR000DTI	primary cell	CTCF	CTCF ChIP-seq on human HCM	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTI
ENCSR000DTL	primary cell	CTCF	CTCF ChIP-seq on human HCPEpiC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTL
ENCSR000DTO	immortalized cell line	CTCF	CTCF ChIP-seq on human HCT-116	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTO
ENCSR000DTR	primary cell	CTCF	CTCF ChIP-seq on human HEEpiC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTR
ENCSR000DTW	immortalized cell line	CTCF	CTCF ChIP-seq on human HEK293	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DTW
ENCSR000DUB	immortalized cell line	CTCF	CTCF ChIP-seq on human HeLa-S3	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUB
ENCSR000DUG	immortalized cell line	CTCF	CTCF ChIP-seq on human HepG2	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUG
ENCSR000DUH	primary cell	CTCF	CTCF ChIP-seq on human HFF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUH
ENCSR000DUM	immortalized cell line	CTCF	CTCF ChIP-seq on human HFF-Myc	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUM
ENCSR000DUP	immortalized cell line	CTCF	CTCF ChIP-seq on human HL-60	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUP
ENCSR000DUS	primary cell	CTCF	CTCF ChIP-seq on human HMEC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUS
ENCSR000DUU	primary cell	CTCF	CTCF ChIP-seq on human HMF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUU
ENCSR000DUX	primary cell	CTCF	CTCF ChIP-seq on human HPAF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DUX
ENCSR000DVA	primary cell	CTCF	CTCF ChIP-seq on human HPF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DVA
ENCSR000DVH	primary cell	CTCF	CTCF ChIP-seq on human HRE	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DVH
ENCSR000DVI	primary cell	CTCF	CTCF ChIP-seq on human HRPEpiC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DVI
ENCSR000DVP	primary cell	CTCF	CTCF ChIP-seq on human HUVEC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DVP
ENCSR000DVQ	primary cell	CTCF	CTCF ChIP-seq on human HVMF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DVQ
ENCSR000DWE	immortalized cell line	CTCF	CTCF ChIP-seq on human K562	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWE
ENCSR000DWH	immortalized cell line	CTCF	CTCF ChIP-seq on human MCF-7	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWH
ENCSR000DWN	immortalized cell line	CTCF	CTCF ChIP-seq on human NB4	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWN
ENCSR000DWQ	primary cell	CTCF	CTCF ChIP-seq on human NHDF-neo	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWQ
ENCSR000DWX	primary cell	CTCF	CTCF ChIP-seq on human NHEK	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWX
ENCSR000DWY	primary cell	CTCF	CTCF ChIP-seq on human NHLF	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DWY
ENCSR000DXD	primary cell	CTCF	CTCF ChIP-seq on human RPTEC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DXD
ENCSR000DXI	primary cell	CTCF	CTCF ChIP-seq on human SAEC	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DXI
ENCSR000DXQ	immortalized cell line	CTCF	CTCF ChIP-seq on human SK-N-SH treated with 6uM retinoic acid for 48 hours	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DXQ
ENCSR000DXW	immortalized cell line	CTCF	CTCF ChIP-seq on human WERI-Rb-1	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DXW
ENCSR000DYB	immortalized cell line	CTCF	CTCF ChIP-seq on human WI-38	John Stamatoyannopoulos, UW	https://www.encodeproject.org/experiments/ENCSR000DYB
ENCSR000DYC	immortalized cell line	MYC	MYC ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYC
ENCSR000DYD	immortalized cell line	CTCF	CTCF ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYD
ENCSR000DYE	immortalized cell line	RAD21	RAD21 ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYE
ENCSR000DYF	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYF
ENCSR000DYG	immortalized cell line	MAX	MAX ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYG
ENCSR000DYI	immortalized cell line	CEBPB	CEBPB ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYI
ENCSR000DYJ	immortalized cell line	BHLHE40	BHLHE40 ChIP-seq on human A549 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYJ
ENCSR000DYM	immortalized cell line	RELA	RELA ChIP-seq on human GM10847 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYM
ENCSR000DYO	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM10847	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYO
ENCSR000DYP	immortalized cell line	ZNF384	ZNF384 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYP
ENCSR000DYQ	immortalized cell line	ESRRA	ESRRA ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYQ
ENCSR000DYR	immortalized cell line	CUX1	CUX1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYR
ENCSR000DYS	immortalized cell line	JUND	JUND ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYS
ENCSR000DYT	immortalized cell line	SREBF2	SREBF2 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYT
ENCSR000DYU	immortalized cell line	SREBF1	SREBF1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYU
ENCSR000DYV	immortalized cell line	MAFK	MAFK ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYV
ENCSR000DYX	immortalized cell line	SIN3A	SIN3A ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYX
ENCSR000DYY	immortalized cell line	E2F4	E2F4 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYY
ENCSR000DYZ	immortalized cell line	TBL1XR1	TBL1XR1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DYZ
ENCSR000DZA	immortalized cell line	MAZ	MAZ ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZA
ENCSR000DZB	immortalized cell line	ELK1	ELK1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZB
ENCSR000DZC	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZC
ENCSR000DZD	immortalized cell line	EP300	EP300 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZD
ENCSR000DZE	immortalized cell line	CHD1	CHD1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZE
ENCSR000DZF	immortalized cell line	MAX	MAX ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZF
ENCSR000DZG	immortalized cell line	EP300	EP300 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZG
ENCSR000DZI	immortalized cell line	MXI1	MXI1 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZI
ENCSR000DZJ	immortalized cell line	BHLHE40	BHLHE40 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZJ
ENCSR000DZK	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZK
ENCSR000DZL	immortalized cell line	ZNF143	ZNF143 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZL
